SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
496,Karnataka,Karnataka University Dharwad (Id: U0230),V.H Marad M.Ed College Sattur Dharwad (Id: C35506),Dharwad,Teacher Training,12,17,29,4,1,5,1,1,5.8,8.6
497,Karnataka,Kuvempu University Shankaraghatta Shimoga (Id: U0232),S.J.G. College of Education Anandapura Sagara Taluka. (Id: C17840),Shimoga,Teacher Training,40,60,100,7,1,8,1,0,12.5,7.5
498,Karnataka,Mangalore University Mangalore (Id: U0233),Mangalore Institute of Fire and Safety Engineering C.P. Complex Pumpwell Mangalore (Id: C16803),Dakshina Kannada,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
499,Karnataka,Maulana Azad National Urdu University Hyderabad (Id: U0023),MANUU POLYTECHNIC BANGALORE (Id: C46611),Bangalore,Technical/Polytechnic,295,0,295,19,0,19,1,1,15.53,11.85
500,Karnataka,Mysore University Mysore (Id: U0235),NDRK College for Education B M Road Hassan (Id: C17519),Hassan,Teacher Training,19,81,100,6,3,9,1,1,11.12,10.38
501,Karnataka,Mysore University Mysore (Id: U0235),RAMAKRISH0 INSTTITUTE OF MORAL AND SPIRITUAL EDUCATION MYSORE (Id: C46338),Mysore,Teacher Training,100,0,100,9,0,9,1,0,11.12,7.04
502,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),A E C S Maruthi College of Nursing (Id: C40319),Bangalore,Nursing,43,59,102,3,23,26,1,1,3.93,7.98
503,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),AECS Pavan College of Nursing (Id: C40398),Kolar,Nursing,58,179,237,7,27,34,0,1,6.98,5.66
504,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Aruna College of Nursing (Id: C40371),Tumkur,Nursing,8,43,51,0,47,47,0,1,1.09,3.7
505,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),ASHRITH COLLEGE OF NURSING KOTAUDUPI (Id: C46585),Udupi,Nursing,0,54,54,2,8,10,0,1,5.4,5.14
506,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Bellary Institute of Nursing (Id: C40515),Bellary,Nursing,7,27,34,2,12,14,0,0,2.43,0.81
507,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Government Dental College Bellary (Id: C40520),Bellary,Technical/Polytechnic,50,109,159,18,17,35,1,0,4.55,4.85
508,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Hassan Institute of Medical Sciences (Id: C40164),Hassan,Nursing,313,286,599,108,47,155,1,1,3.87,7.96
509,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Indian College of Nursing (Id: C40187),Bangalore,Nursing,0,32,32,0,9,9,0,0,3.56,1.19
510,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Koshys College of Nursing (Id: C40591),Bangalore,Nursing,54,242,296,0,28,28,1,1,10.58,10.2
511,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Mathrusri Ramabai Ambedkar College of Nursing Bangalore (Id: C44852),Bangalore,Nursing,38,96,134,1,5,6,1,1,22.34,14.12
512,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Mother Teresa College of Nursing (Id: C40201),Mysore,Nursing,8,128,136,0,5,5,1,0,27.2,12.4
513,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Mythri College of Nursing (Id: C40552),Shimoga,Nursing,22,206,228,9,30,39,0,1,5.85,5.29
514,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Nanjappa Institute of Nursing Sciences (Id: C40545),Shimoga,Nursing,5,194,199,8,76,84,0,0,2.37,0.79
515,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Narayana Hrudayalaya College of Nursing (Id: C40355),Bangalore,Nursing,9,272,281,1,41,42,1,0,6.7,5.57
516,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),New Sri Shanthini College of Nursing (Id: C40074),Bangalore,Nursing,72,95,167,6,14,20,1,0,8.35,6.12
517,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Nightingale College Of Nursing (Id: C40455),Bangalore,Nursing,105,230,335,5,50,55,0,1,6.1,5.37
518,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Rajiv Gandhi College of Nursing (Id: C40422),Bangalore,Nursing,28,64,92,20,25,45,1,0,2.05,4.02
519,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),SCT College of Nursing (Id: C40403),Bangalore,Nursing,0,0,0,0,0,0,1,1,0,6.67
520,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Shri maruthi College of Nursing (Id: C44903),Bangalore Rural,Nursing,0,0,0,0,1,1,0,0,0,0
521,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Smt. Lakshmi Devi College of Nursing (Id: C44904),Bangalore Rural,Nursing,2,75,77,7,19,26,1,0,2.97,4.33
522,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Sri Devaraj Urs College of Nursing (Id: C40165),Kolar,Nursing,7,168,175,2,22,24,0,0,7.3,2.44
523,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Sri Dharmasthala Manjunatheshwara College of Nursing (Id: C40557),Dharwad,Nursing,21,254,275,9,9,18,1,1,15.28,11.76
524,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Sri Venkateshwara Institute of Nursing Sciences Hongasandra (Id: C44870),Bangalore,Nursing,0,26,26,0,16,16,1,0,1.63,3.88
525,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),UDUPI DHANVANTARI COLLEGE OF NURSING UDUPI (Id: C47416),Udupi,Nursing,0,73,73,3,7,10,0,0,7.3,2.44
526,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Unity College of Nursing (Id: C40240),Dakshina Kannada,Nursing,0,186,186,1,27,28,0,1,6.65,5.55
527,Karnataka,Rajiv Gandhi University of Health Sciences Bangalore (Id: U0240),Wockhardt Institute of Nursing (Id: C40217),Bangalore,Nursing,16,136,152,3,8,11,1,1,13.82,11.28
528,Karnataka,Rani Channamma University Belagavi (Id: U0602),BASAVESHWAR COLLEGE OF PHYSICAL EDUCATION BAGALKOTE (PG) (Id: C9979),Bagalkot,Teacher Training,126,12,138,8,0,8,1,1,17.25,12.42
529,Karnataka,Rani Channamma University Belagavi (Id: U0602),BHRATESH COLLEGE OF EDUCATION BELLAD BAGEWADI (Id: C10188),Belgaum,Teacher Training,56,41,97,5,4,9,0,0,10.78,3.6
530,Karnataka,Rani Channamma University Belagavi (Id: U0602),CHAUSON COLLEGE OF EDUCATION CHIKKODI (Id: C9893),Belgaum,Teacher Training,62,38,100,7,3,10,1,1,10,10
531,Karnataka,Rani Channamma University Belagavi (Id: U0602),CHAUSON EDUCATION COLLEGE CHIKKODI (PG) (Id: C10063),Belgaum,Teacher Training,8,14,22,3,3,6,0,0,3.67,1.23
532,Karnataka,Rani Channamma University Belagavi (Id: U0602),CHOUSAN COLLEGE OF EDUCATION CHIKKODI (Id: C9893),Belgaum,Teacher Training,62,38,100,7,3,10,1,1,10,10
533,Karnataka,Rani Channamma University Belagavi (Id: U0602),CHOUSON EDUCATION COLLEGE CHIKKODI (PG) (Id: C10063),Belgaum,Teacher Training,8,14,22,3,3,6,1,0,3.67,4.56
534,Karnataka,Rani Channamma University Belagavi (Id: U0602),KLE SOCIETYS COLLEGE OF EDUCATION ATHANI (Id: C9947),Belgaum,Teacher Training,47,46,93,3,3,6,1,1,15.5,11.84
535,Karnataka,Rani Channamma University Belagavi (Id: U0602),M N R A EDUCATION COLLEGE BELGAUM (Id: C10211),Belgaum,Teacher Training,55,45,100,8,6,14,0,1,7.15,5.72
536,Karnataka,Rani Channamma University Belagavi (Id: U0602),SHRI SIDDHIVI0YAKA RURAL COLLEGE OF EDUCATION HARUGERI (Id: C10144),Belgaum,Teacher Training,62,19,81,7,1,8,0,0,10.13,3.38
537,Karnataka,Rashtriya Sanskrit Sansthan New Delhi (Id: U0115),RAJIV GANDHI CAMPUS (Id: C27024),Chikmagalur,Teacher Training,0,0,0,0,0,0,0,0,0,0
538,Karnataka,University of Agricultural Sciences Dharwad (Id: U0246),COLLEGE OF FORESTRYSIRSI (Id: C44536),Uttara Kannada,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
539,Karnataka,Vesveswaraiah Technological University Belgaum (Id: U0249),AIR FORCE TECHNICAL COLLEGE BANGALORE (Id: C47267),Bangalore,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
540,Karnataka,Vesveswaraiah Technological University Belgaum (Id: U0249),Vijaya Vittal Institute of Technology BANGALORE (Id: C1257),Bangalore,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
541,Kerala,Calicut University Thenhipalem Malapuram (Id: U0251),KPPM COLLEGE OF TEACHER EDUCATION A0KKAYAM (Id: C7998),Malappuram,Teacher Training,18,83,101,6,6,12,0,0,8.42,2.81
542,Kerala,Calicut University Thenhipalem Malapuram (Id: U0251),SAHRUDAYA COLLEGE OF ENGG and TECH. KODAKARA (Id: C8157),Thrissur,Technical/Polytechnic,375,645,1020,26,55,81,0,0,12.6,4.2
543,Kerala,Kannur University Kannur (Id: U0256),Sadguru Swamy Nithyananda Institute of Technology Kanhangad (Id: C43844),Kasaragod,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
544,Kerala,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U0630),JAMIA SALAFFIYYA COLLEGE OF PHARMACY PULIKKAL (Id: C8013),Malappuram,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
545,Kerala,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U0630),KMCT COLLEGE OF NURSING MAMPATTA KOZHIKKODE (Id: C8194),Kozhikode,Nursing,15,169,184,2,15,17,1,0,10.83,6.95
546,Kerala,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U0630),Lissie College of Nursing Lissie Hospital P B No. 3053 Ernakulam 682 018 (Id: C11703),Ernakulam,Nursing,4,282,286,0,33,33,1,0,8.67,6.23
547,Kerala,Kerala University Thiruvananthapuram (Id: U0260),College of Teacher Education Arkannor Ayur Kollam (Id: C43641),Kollam,Teacher Training,2,11,13,4,4,8,1,1,1.63,7.21
548,Kerala,Mahatma Gandhi University Kottayam (Id: U0262),Sneha Sadan College of Special education Angamaly Ernakulam  683 572 (Id: C11586),Ernakulam,Teacher Training,1,23,24,0,9,9,1,1,2.67,7.56
549,Kerala,Mahatma Gandhi University Kottayam (Id: U0262),S N M Training College Moothakunnam Ernakulam 683 516 (Id: C11632),Ernakulam,Teacher Training,6,171,177,5,12,17,1,1,10.42,10.14
550,Kerala,Mahatma Gandhi University Kottayam (Id: U0262),University College of Teacher Education Vocational Higher Secondary School Campus Elanthoor Pathanamthitta (Id: C11791),Pathanamthitta,Teacher Training,18,128,146,3,7,10,0,0,14.6,4.87
551,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),CHAURASHIYA PAIRAMEDICAL INSTITUT REWA (Id: C31835),Rewa,Technical/Polytechnic,240,60,300,29,14,43,0,1,6.98,5.66
552,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),MASS PARAMEDICAL INSTITUTE SAT0 (Id: C31802),Satna,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
553,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),M.J M C NURSING and REASEARCHSHERGANJSAT0 (Id: C31794),Satna,Nursing,0,0,0,0,0,0,0,0,0,0
554,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),SAI0TH INSTITUTE OF PARAMEDICAL TECHNOLOGY  VAIDHAN (Id: C47489),Singrauli,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
555,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),SAKSHI B.ED. COLLEGE BARAURA SIDHI (Id: C50398),Sidhi,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
556,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),SHIVANI PARAMADICAL INSTITUTESHAHDOL (Id: C31889),Shahdol,Nursing,0,0,0,0,0,0,1,1,0,6.67
557,Madhya Pradesh,Awadesh Pratap Singh University Rewa (Id: U0268),S. I. N. P. S. JANKI KUND CHITRAKUT SAT0 (Id: C31830),Satna,Technical/Polytechnic,52,6,58,8,0,8,0,1,7.25,5.75
558,Madhya Pradesh,Barkatullah University Bhopal (Id: U0269),CHIRAYU PARAMEDICAL COLLEGE (Id: C50446),Bhopal,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
559,Madhya Pradesh,Barkatullah University Bhopal (Id: U0269),RAJA BHOJ COLLEGE OF EDUCATION (Id: C47994),Betul,Teacher Training,31,69,100,7,1,8,1,0,12.5,7.5
560,Madhya Pradesh,Devi Ahilya Vishwavidyalaya Indore (Id: U0270),Shri Guru Gobind Singh College of Prof. Studies Khandwa Road Indore (Id: C29778),Indore,Technical/Polytechnic,66,54,120,8,4,12,1,1,10,10
561,Madhya Pradesh,Devi Ahilya Vishwavidyalaya Indore (Id: U0270),Shubhdeep College of Nursing Indore (Id: C47331),Indore,Nursing,30,47,77,4,15,19,1,1,4.06,8.02
562,Madhya Pradesh,Devi Ahilya Vishwavidyalaya Indore (Id: U0270),Shubhdeep College of Nursing Indore (Id: C47331),Indore,Nursing,30,47,77,4,15,19,1,0,4.06,4.69
563,Madhya Pradesh,Devi Ahilya Vishwavidyalaya Indore (Id: U0270),SMT RUKHMINIBEN DEEPCHAND BHAI GARDI NTC INDORE (Id: C47955),Indore,Nursing,1,131,132,0,14,14,1,1,9.43,9.81
564,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Bhagyodaya Teerth Inst. and Paramedical Sc. College Sagar. (Id: C19133),Sagar,Technical/Polytechnic,13,9,22,6,0,6,0,0,3.67,1.23
565,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Chhatrasal Edu. College Devendranagar Panna (Id: C19257),Panna,Teacher Training,49,51,100,12,2,14,0,1,7.15,5.72
566,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Hope Inst. of Tech. Teachers Tranning Tikamgarh (Id: C19189),Tikamgarh,Teacher Training,52,48,100,6,2,8,1,0,12.5,7.5
567,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),R.A.B.L. College Chhindwara (Id: C19125),Chhindwara,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
568,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Rajashwari Mahavidyalaya Madhoganj Ajaygarh.Panna (Id: C19203),Panna,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
569,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Srijan Edu. College Chhatarpur (Id: C19178),Chhatarpur,Teacher Training,38,62,100,6,2,8,1,0,12.5,7.5
570,Madhya Pradesh,Dr. Harisingh Gaur Vishwavidyalaya Sagar (Id: U0271),Vidyasagar College Devendranagar Panna (Id: C19237),Panna,Teacher Training,53,46,99,7,1,8,1,0,12.38,7.46
571,Madhya Pradesh,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),IPS Academy Indore  452 012 (Id: C33077),Indore,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
572,Madhya Pradesh,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Nutan Kala Sangeet MahavidyalayaBalaghat (Id: C33062),Balaghat,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
573,Madhya Pradesh,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Sangeet MahavidyalayaGujrati Samaj Ratlam457001 (Id: C33030),Ratlam,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
574,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),COLLEGE OF LIFE SCIENCE CENTER HOSPITAL AND RESEARCH INSTITUTE (Id: C34787),Gwalior,Technical/Polytechnic,31,88,119,4,9,13,0,0,9.16,3.06
575,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),OMKAR COLLEGE OF PROF. STUDIES (Id: C34934),Guna,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
576,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),RAJIV GANDHI PROF. STUDIES COLLEGE URWAI GATE (Id: C34801),Gwalior,Teacher Training,126,109,235,10,10,20,0,0,11.75,3.92
577,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),RISHI GALAV COLLEGE  BANMORE (Id: C34931),Morena,Teacher Training,298,155,453,13,0,13,0,1,34.85,14.95
578,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),SO0LI EDUCATION COLLEGE (Id: C34945),Guna,Teacher Training,39,61,100,7,1,8,1,1,12.5,10.84
579,Madhya Pradesh,Jiwaji University Gwalior (Id: U0276),VIVEKA0ND PARAMEDICAL COLLEGE (Id: C34913),Bhind,Technical/Polytechnic,82,18,100,3,1,4,1,0,25,11.67
580,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Bhabha College Of Pharmacy Village JatkhediN.H.12Hoshangabad Road BHOPA (Id: C36109),Bhopal,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
581,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),"""Central India Institute of PharmacyDewasIndore Highway Arandia Indore452001 "" (Id: C36120)",Indore,Technical/Polytechnic,95,25,120,3,5,8,0,0,15,5
582,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Dr. Shri R.M.S. Institute of Science and Technology College of Pharmacy Bhanpura Dist  Mandsaur458775 (Id: C36261),Mandsaur,Technical/Polytechnic,300,45,345,29,1,30,0,0,11.5,3.84
583,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Gulab Kali Memorial College Of PharmacyGora Road Chakghat PostChakghat Teh.Teonthar Distt.Rewa486226 (Id: C36113),Rewa,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
584,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),R.K.D.F.Institute Of Pharmacy Science Bhopal N.H. 12 Hoshangabad Road Near Mark Hotel Bhopal (Id: C35918),Bhopal,Technical/Polytechnic,71,19,90,5,3,8,1,0,11.25,7.09
585,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),R.K.D.F. Instt. of Pharmacy Science Indore (Id: C36104),Indore,Technical/Polytechnic,68,12,80,7,1,8,0,0,10,3.34
586,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),R.K.D.F. Poly. (Pharmacy) N.H. 12 Hoshangabad Road Near Mark Hotel Bhopal (Id: C36254),Bhopal,Technical/Polytechnic,98,12,110,5,2,7,1,1,15.72,11.91
587,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Shri Ram Institute of Tech. Diploma Pharmacy Near I.T.I. Madatal Jabalpur482002 (Id: C36183),Jabalpur,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
588,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Shri Satya Sai Poly. Pharmacy N.H.18 Oposit Oil Faid Plant Pachama Sehore (Id: C35977),Sehore,Technical/Polytechnic,60,17,77,6,2,8,1,1,9.63,9.88
589,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),S.V. Polytechnic Mahavidyalaya Bhopal (Id: C36037),Bhopal,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
590,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Swami Vivekanad Institute of Technology Behind Dr. H.S. Gaur University NH 26 Sironja Sagar (Id: C36124),Sagar,Technical/Polytechnic,1124,393,1517,76,26,102,1,0,14.88,8.3
591,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),Swami Vivekanand College Of Pharmacy Barkhedi Kala Neelbad RoadP.O.Suraj Nagar Bhopal462044 (Id: C36062),Bhopal,Technical/Polytechnic,52,8,60,5,3,8,1,1,7.5,9.17
592,Madhya Pradesh,Rajiv Gandhi Prodoyogiki Vishwavidyalaya Bhopal (Id: U0287),University Polytechnic RGPV (Id: C36082),Bhopal,Technical/Polytechnic,432,49,481,8,1,9,1,1,53.45,24.49
593,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),BALAGHAT PERAMEDICAL COLLEGE (Id: C47343),Balaghat,Technical/Polytechnic,69,130,199,11,4,15,0,0,13.27,4.43
594,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),BANSAL INSTITUTE OF PARAMEDICAL SCIENCE Jabalpur (Id: C47386),Jabalpur,Technical/Polytechnic,15,4,19,0,3,3,1,0,6.34,5.45
595,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),JAGAN0TH PREMVATI COLLEGE OF EDUCATION Jabalpur (Id: C47391),Jabalpur,Teacher Training,0,0,0,1,8,9,1,1,0,6.67
596,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),MAHAKOSHAL INSTITUTE OF PARAMEDICAL TECHOLOGY Jabalpur (Id: C47394),Jabalpur,Technical/Polytechnic,67,24,91,4,3,7,1,1,13,11
597,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),MANDLA INSTITUDE OF PARAMEDICAL TECHNOLOGY (Id: C47362),Mandla,Technical/Polytechnic,50,39,89,3,4,7,1,1,12.72,10.91
598,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),SAI 0TH COLLEGE OF NURSING KATNI (Id: C47359),Katni,Nursing,0,0,0,0,0,0,0,1,0,3.34
599,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),SUBHASH CHANDRA PARAMEDICAL COLLEGE Jabalpur (Id: C47398),Jabalpur,Technical/Polytechnic,60,21,81,14,5,19,1,0,4.27,4.76
600,Madhya Pradesh,Rani Durgavati Vishwavidyalaya Jabalpur (Id: U0289),Swayam Shri Institute of Paramedical Technology Balaghat (Id: C33433),Balaghat,Technical/Polytechnic,96,76,172,5,6,11,0,0,15.64,5.22
601,Madhya Pradesh,Vikram University Ujjain (Id: U0291),Balkavi Bairagee Education College Neemuch (Id: C31629),Neemuch,Teacher Training,15,85,100,2,7,9,1,1,11.12,10.38
602,Madhya Pradesh,Vikram University Ujjain (Id: U0291),Govt. Mahatma Gandhi College Jawad (Id: C31646),Neemuch,Teacher Training,182,298,480,8,1,9,1,0,53.34,21.12
603,Madhya Pradesh,Vikram University Ujjain (Id: U0291),Maharaja College of Ujjain Ujjain (Id: C31628),Ujjain,Teacher Training,0,0,0,0,0,0,0,0,0,0
604,Madhya Pradesh,Vikram University Ujjain (Id: U0291),Mandsaur Institute of Physical Education Mandsaur (Id: C31695),Mandsaur,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
605,Madhya Pradesh,Vikram University Ujjain (Id: U0291),MIRACLES MANDSAUR (Id: C47240),Mandsaur,Technical/Polytechnic,44,6,50,6,1,7,1,1,7.15,9.05
606,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University Aurangabad (Id: U0298),Ashti Taluka Shikshan Prasarak Mandal's Arts and Commerce College Ashti. (Id: C34527),Bid,Teacher Training,508,190,698,27,4,31,1,1,22.52,14.18
607,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University Aurangabad (Id: U0298),Terna Public Charitable Trust's College of Education Terna Nagar. (Id: C34575),Osmanabad,Teacher Training,42,41,83,4,1,5,1,1,16.6,12.2
608,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University Aurangabad (Id: U0298),Terna Public Charitable Trust's College of Education Terna Nagar. (Id: C34575),Osmanabad,Technical/Polytechnic,42,41,83,4,1,5,0,1,16.6,8.87
609,Maharashtra,GONDWA0 UNIVERSITY GADCHIROLI (Id: U0658),Chintamani B Ed College Ballarpur (Id: C18334),Chandrapur,Teacher Training,48,26,74,8,0,8,1,1,9.25,9.75
610,Maharashtra,GONDWA0 UNIVERSITY GADCHIROLI (Id: U0658),Late Gyaneshwarji Menghre Education College Wadsa (Id: C18687),Gadchiroli,Teacher Training,0,0,0,0,0,0,0,0,0,0
611,Maharashtra,GONDWA0 UNIVERSITY GADCHIROLI (Id: U0658),SATI ANUSAYA MAA ARTS SCIENCE COLLEGE YENGALKHEDA (Id: C46513),Gadchiroli,Teacher Training,35,19,54,3,2,5,1,0,10.8,6.94
612,Maharashtra,GONDWA0 UNIVERSITY GADCHIROLI (Id: U0658),Sharadchandra Pawar Arts College Charmoshi (Id: C18606),Gadchiroli,Teacher Training,0,163,163,7,4,11,1,1,14.82,11.61
613,Maharashtra,Indira Kala Sangit Vishwavidyalaya Khairagarh (Id: U0088),Acharya Bhatkhande Sangeet Mahavidyalaya LATUR  413 531 (Id: C33033),Latur,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
614,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Chintamani Vastushastra Padvika Mahavidyalaya Selu Kate (Id: C16239),Wardha,Technical/Polytechnic,1,0,1,1,0,1,0,1,1,3.67
615,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Gurukrupa Mahavidyalaya Akola (Id: C16248),Akola,Technical/Polytechnic,74,46,120,11,6,17,1,0,7.06,5.69
616,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Late. Nirmala Kashikar Sanskrit Pathashala and Mahavidyalaya Yavatmal (Id: C16208),Yavatmal,Technical/Polytechnic,0,17,17,0,0,0,1,0,0,3.34
617,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),L. K. Diploma Yogashastra Mahavidyalaya Gondiya (Id: C16206),Gondiya,Teacher Training,5,3,8,3,1,4,1,1,2,7.34
618,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Nagaji Maharaj Mahavidyalaya Nagpur (Id: C16241),Nagpur,Teacher Training,3,1,4,0,10,10,0,0,0.4,0.14
619,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Priyadarshini College Chandrapur (Id: C16251),Chandrapur,Technical/Polytechnic,16,32,48,0,6,6,0,0,8,2.67
