SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
64,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Girls Polytechnic Raipur (Id: C16309),Raipur,Technical/Polytechnic,0,586,586,30,34,64,0,1,9.16,6.39
65,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Girls Polytechnic Rajnandgaon (Id: C16305),Rajnandgaon,Technical/Polytechnic,0,182,182,8,6,14,0,0,13,4.34
66,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Governement Polytechnic College Korea Baikunthpur Korea (Id: C16653),Koriya,Technical/Polytechnic,263,58,321,9,7,16,0,0,20.07,6.69
67,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),GOVERNMENT POLYTECHINC RAMANUJGANJ OLD TEHSIL OFFICE (Id: C49655),Surguja,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
68,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),GOVERNMENT POLYTECHNIC SUKMA (Id: C49639),Dakshin Bastar Dantewada,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
69,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Girls Polytechnic Bilaspur (Id: C15590),Bilaspur,Technical/Polytechnic,0,325,325,5,4,9,1,0,36.12,15.38
70,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Girls Polytechnic Jagdalpur (Id: C16308),Bastar,Technical/Polytechnic,9,272,281,9,15,24,1,1,11.71,10.57
71,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Ambikapur (Id: C15592),Surguja,Technical/Polytechnic,562,174,736,40,8,48,1,0,15.34,8.45
72,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Bijapur (Id: C15599),Bijapur,Technical/Polytechnic,209,22,231,4,2,6,1,1,38.5,19.5
73,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt.Polytechnic Durg (Id: C15644),Durg,Technical/Polytechnic,909,323,1232,12,13,25,0,1,49.28,19.76
74,Chhatisgarh,Chhattisgarh Swami Vivekanand Technical University Bhilai (Id: U0083),Govt. Polytechnic Gariyaband (Id: C19114),Raipur,Technical/Polytechnic,188,27,215,2,0,2,1,1,107.5,42.5
