AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-17482,"Sri Ranga college of Education,",Karnataka,16,140,0,10,92,8.75,8.490155438
C-12447,CH. SHIV KUMAR SINGH SMARAK,Uttar Pradesh,2,0,0,10,50,0,8.490155438
C-7985,MEPPAYUR SALAFI COLLEGE OF,Kerala,8,100,2,10,57,12.5,8.490155438
C-18721,"Gavrabhai Arts College, Jhalia",Maharashtra,5,0,0,0,59,0,8.498434456
C-50653,RADHE INSTITUTE OF ENGINEERING,Gujarat,30,489,1,10,55,16.3,8.558255189
C-9908,"LATE M.K.G.B.P.ARTS COMM COLLEGE,",Karnataka,5,676,0,0,97,135.2,8.56240811
C-47504,SHEVAROYS COLLEGE OF ARTS AND,Tamil Nadu,30,379,2,10,84,12.63333333,8.573053999
C-34170,Sai Shikshan & Samajik Sanshodhan,Maharashtra,11,426,0,10,86,38.72727273,8.592475514
C-57110,GURUKUL. THE. TEACHING,West Bengal,19,197,0,10,60,10.36842105,8.608719475
C-49102,CHRISTIAN MEDICAL COLLEGE (M.Sc.,Tamil Nadu,11,1,12,10,59,0.090909091,8.629428922
C-36565,SRI SAI BHARATH COLLEGE OF,Tamil Nadu,39,573,0,0,91,14.69230769,8.655030841
C-6701,DIVYACHETANA BBA COLLEGE,Gujarat,1,0,0,0,62,0,8.668881107
C-24244,SURYA DEGREE COLLEGE,Andhra Pradesh,8,235,0,10,77,29.375,8.680972148
C-44555,LATE R. G. DESHMUKH COLLEGE OF,Maharashtra,16,228,0,10,62,14.25,8.727283513
C-46485,KHEMAJI NAIK SCIENCE PITIGUDA,Maharashtra,7,154,0,10,62,22,8.727283513
C-45551,KONGUNADU COLLEGE OF NURSING (Inst.,Tamil Nadu,26,258,1,10,79,9.923076923,8.746179847
C-55031,AKULA SREE RAMULU COLLEGE of,Andhra Pradesh,8,0,0,10,50,0,8.76802363
C-22419,Shaheed Bhagat Singh College of,Haryana,15,193,0,10,53,12.86666667,8.793964937
C-23866,S.D.S.(Autonomous) College of Arts,Andhra Pradesh,4,627,0,10,81,156.75,8.799536185
C-42855,Gopikabai Sitaram Gawande,Maharashtra,26,1623,2,10,69,62.42307692,8.799536185
C-53014,"Sukurti Commerce College, Hubli",Karnataka,9,20,0,10,91,2.222222222,8.83375651
C-43020,"Abhinav College of Education, D.",Maharashtra,2,0,0,10,53,0,8.845847551
C-26234,Punjab Ayurved Medical,Rajasthan,35,320,1,10,76,9.142857143,8.851533466
C-9643,Darshan,Bihar,5,8,0,0,55,1.6,8.855217458
C-15637,J K Institute of Pharmacy Near Gatora,Chattisgarh,8,120,0,0,56,15,8.866217609
C-24215,Balasu Rama Rao Degree College,Andhra Pradesh,6,0,0,10,52,0,8.912528974
C-51754,SUBHASH CHANDRA BOSE,Rajasthan,13,172,0,10,81,13.23076923,8.912528974
C-773,"School of Physiotherapy, RK University,",Gujarat,40,525,2,10,54,13.125,8.917563804
C-34765,SHRI RAWATPURA SARKAR,Madhya Pradesh,19,214,2,10,91,11.26315789,8.940108915
C-52200,"Indu Mahila Mahavidyalaya, Ratanpura",Uttar Pradesh,3,403,0,10,57,134.3333333,8.964411588
C-10746,Bhai Surender Kumar Memorial,Haryana,10,0,0,10,51,0,8.979210398
C-9034,C385 Vishveshwaraiah BCA BBM &,Karnataka,3,0,0,10,54,0,9.010722954
C-55696,Shree Maruti Vidhya Mandir College of B.S.,Gujarat,5,75,0,10,72,15,9.017833926
C-53767,Advance Courses of Computer,Madhya Pradesh,6,0,0,0,63,0,9.019001971
C-26559,Ambica Sanskrit TT college,Rajasthan,2,3,0,10,52,1.5,9.045515434
C-51963,SRI SAI RAM DEGREE COLLEGE,Karnataka,12,157,0,10,77,13.08333333,9.045891822
C-20286,Shri Ramanuj Sanskrit Mahavidyalay,Uttar Pradesh,7,112,0,0,75,16,9.050908364
C-38540,"Maharishi Dayanand Law College, Jaipur",Rajasthan,15,435,0,10,92,29,9.077404377
C-14452,Arumugam Pillai Seethai Ammal,Tamil Nadu,10,0,0,10,52,0,9.097774436
C-18273,Sri Niketan Arts Commerce,Maharashtra,16,533,0,10,81,33.3125,9.102282044
C-48508,JIVANJYOT COLLEGE OF EDUCATION,Gujarat,8,199,2,10,71,24.875,9.132644632
C-47456,"YEMHI MEMORIAL COLLEGE ,",Nagaland,20,162,1,10,54,8.1,9.133335932
C-16211,"Keertan Mahavidyalaya, Nagpur",Maharashtra,2,33,0,10,64,16.5,9.135841276
C-56584,PT BANSH RAJ PRASHIKSHAN MAHAVIDYALA,Uttar Pradesh,16,96,0,10,50,6,9.138514553
C-20362,Shri Bholanath Adarsh Sanskrit,Uttar Pradesh,4,62,0,10,74,15.5,9.143137257
C-38874,"Shekhawati TT Inst., Sikar",Rajasthan,16,157,0,10,78,9.8125,9.145504129
C-20585,Shri Saraswati Sanskrit Mahavidyalay,Uttar Pradesh,9,138,2,0,93,15.33333333,9.164079472
C-14753,Arputha Jothi College of Teacher,Tamil Nadu,9,0,0,10,53,0,9.170027108
C-60477,C-697 SWAMY VIVEKANANDA ARTS DEGREE,Karnataka,5,10,0,0,56,2,9.181541284
C-6266,MCKV Institute of Engineering 116,West Bengal,98,1438,3,10,60,14.67346939,9.193579585
C-40989,S.M.P.College,Odisha,7,375,1,10,96,53.57142857,9.195632085
C-43051,"Shri Shivaji Arts , Commerce",Maharashtra,30,2720,2,0,55,90.66666667,9.195968415
C-58675,NANDKUNVARBA MAHILA DIPLOMA IN,Gujarat,4,119,0,0,87,29.75,9.201539663
C-60369,FACULTY OF HUMANITIES,Gujarat,2,8,1,10,50,4,9.218133396
C-47808,BOMBAY NATURAL HISTORY,Maharashtra,6,10,0,0,56,1.666666667,9.225411079
C-46918,LAL BAHADUR SHASTRI INSTITUTE OF,Uttar Pradesh,22,243,2,10,58,11.04545455,9.239018961
C-56843,SDM Institute of Ayurveda and Hospital,Karnataka,48,401,2,10,57,8.354166667,9.247851029
C-46626,DESHAPANDE EDUCATION TRUST,Karnataka,1,0,0,0,67,0,9.261701295
C-38253,"Rajasthan School of Art, Jaipur",Rajasthan,19,220,0,0,86,11.57894737,9.267053042
