AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-8871,200002-SSVPS'S LATE KARMAVEER,Maharashtra,45,1723,2,10.0,62,38.28888889,190.61853
C-8950,200003-SSVPS'S BHAUSAHEB,Maharashtra,36,3015,2,10.0,90,83.75,327.3401
C-8874,200004-SSVPS'S BAPUSAHEB,Maharashtra,106,1555,2,10.0,64,14.66981132,176.01195
C-8867,"200005-VWS'S ARTS,COMMERCE&S",Maharashtra,29,1705,2,10.0,10,58.79310345,177.44461
C-8906,200006-DES'S M.D.PALESHA COMMERCE,Maharashtra,10,721,0,0.0,81,72.1,89.76958
C-8921,200007-WKDSPM'S DR.,Maharashtra,8,615,0,0.0,86,76.875,79.54518
C-8932,"200008-DES'S COLLEGE OF EDUCATION,",Maharashtra,6,57,1,10.0,74,9.5,14.745474
C-8886,200009-AYKK'S ARTS MAHILA,Maharashtra,15,174,1,10.0,61,11.6,26.877722
C-8896,200013-AYKK'S COLLEGE OF,Maharashtra,5,71,1,10.0,74,14.2,15.991171
C-8930,"200017-SES'S COLLEGE OF ENGINEERING,",Maharashtra,6,143,4,10.0,95,23.83333333,25.45097
C-8962,200018-SMT. N.N.C ARTS COMMERCE &,Maharashtra,20,822,0,10.0,89,41.1,102.87132
C-8911,200019-NES'S GANGAMAI COLLEGE OF,Maharashtra,9,182,2,0.0,75,20.22222222,27.323992
C-8938,"200020-JSPS'S COLLEGE OF EDUCATION,",Maharashtra,5,29,2,10.0,90,5.8,11.919175
C-8892,200022-K.S.WANI ADVANCED,Maharashtra,10,107,0,10.0,22,10.7,16.082165
C-8846,200025-NES'S GANGAMAI COLLEGE OF,Maharashtra,93,484,2,10.0,58,5.204301075,63.112267
C-8986,200057-GVM'S KRANTIVIR NAVALBHAU,Maharashtra,10,267,0,0.0,50,26.7,36.399364
C-8941,200058-GET'S ARTS & SCIENCE,Maharashtra,24,652,0,10.0,41,27.16666667,76.64221
C-8925,"200064-A.R.A. COLLEGE OF PHARMACY,",Maharashtra,29,290,1,10.0,86,10.0,42.832916
C-8870,200070-SSS'S DR.B.R.AMBEDKAR,Maharashtra,14,210,2,0.0,8,15.0,23.382376
C-8978,200073-BSSPM'S ARTS & SCIENCE,Maharashtra,24,997,0,10.0,76,41.54166667,118.851234
C-8857,200088-SYSTEL INSTITUTE OF,Maharashtra,4,50,0,10.0,69,12.5,13.443098
C-8988,"200092-ARTS, COMMERCE & SCIENCE",Maharashtra,10,89,0,10.0,69,8.9,17.093899
C-8914,200094-SSPTS'S LATE BAPUSAHEB S.,Maharashtra,2,19,0,0.0,67,9.5,7.814566
C-8873,200095-NES'S GANGAMAI COLLEGE OF,Maharashtra,36,483,2,10.0,62,13.41666667,62.83394
C-8955,200101-ASPMD'S BAPUSAHEB D.,Maharashtra,9,115,2,10.0,95,12.77777778,22.13436
C-8895,200103-SET'S INSTITUTE OF INFORMATION,Maharashtra,5,61,0,10.0,72,12.2,15.003356
C-8854,200110-SSS'S HAJI SAEED AHMAD,Maharashtra,19,192,0,10.0,95,10.10526316,31.425352
C-8919,200111-SS&SS'S VIDYADHAN,Maharashtra,19,207,0,10.0,71,10.89473684,31.586113
C-49983,200121-STREE SHIKSHAN SANSTHA'S,Maharashtra,13,113,0,0.0,92,8.692307692,20.829182
C-8825,"210026-VVM'S ARTS,SCIENCE & COMMERCE",Maharashtra,25,1286,2,10.0,81,51.44,149.42366
C-8970,"210027-PES'S KARM.A.M.PATIL ARTS,",Maharashtra,27,642,0,10.0,80,23.77777778,82.612404
C-8869,210067-NIJAMPUR JAITANE SPM,Maharashtra,14,326,0,0.0,69,23.28571429,44.99106
C-9015,210068-NSS UTTAMRAO PATIL ARTS &,Maharashtra,22,2156,0,10.0,99,98.0,241.54254
C-8990,210075-ADMSPS'S PRIN.,Maharashtra,19,505,0,10.0,94,26.57894737,70.329666
C-8923,210076-TES'S SMT.VIMALBAI UTTAMRAO,Maharashtra,21,672,0,10.0,67,32.0,83.32373
C-8934,"220028-JSS'S ARTS,SCIENCE & COMMERCE",Maharashtra,42,1536,0,10.0,95,36.57142857,178.45903
C-9020,"220029-TES'S ARTS,COMMERCE &",Maharashtra,21,510,0,10.0,82,24.28571429,68.99932
C-8902,220052-NTVS'S COLLEGE OF,Maharashtra,8,97,2,10.0,67,12.125,17.925537
C-8847,"220053-NTVS'S G.T.PATIL ARTS,",Maharashtra,66,4696,2,10.0,73,71.15151515,495.69424
C-8840,"220077-NTVS'S LAW COLLEGE,",Maharashtra,7,442,0,10.0,64,63.14285714,58.59784
C-8926,220105-JIJAMATA EDUCATION,Maharashtra,3,85,0,10.0,83,28.33333333,18.208626
C-8912,230032-PSGVPM'S D.N.PATEL,Maharashtra,64,956,2,10.0,95,14.9375,118.46306
C-8855,"230033-PSGVPM'S SCIENCE,",Maharashtra,48,1906,3,10.0,56,39.70833333,208.01834
C-8821,230034-PSGVPM'S COLLEGE OF,Maharashtra,6,95,2,0.0,73,15.83333333,16.723267
C-8849,230056-SSPM'S VASANTRAO,Maharashtra,27,909,0,10.0,46,33.66666667,104.07315
C-8996,230065-PSGVPM'S COLLEGE OF,Maharashtra,21,394,2,10.0,75,18.76190476,55.31441
C-8992,230066-GRAM VIKAS SANSTHA'S,Maharashtra,11,237,0,0.0,77,21.54545455,34.225475
C-9029,230069-SSPM'S ARTS MAHILA,Maharashtra,11,270,0,0.0,64,24.54545455,37.64911
C-8898,230078-SHAHADA TALUKA CO-OP,Maharashtra,24,402,1,10.0,70,16.75,55.54227
C-8859,230099-SHREE SAIBABA,Maharashtra,5,179,0,0.0,63,35.8,26.11983
C-8875,230102-ST CO.OP.ES'S INSTITUTE OF,Maharashtra,4,107,0,10.0,68,26.75,19.19986
C-9024,"240036-KVPS'S SMT.P.D.M.ARTS,",Maharashtra,45,2213,1,10.0,66,49.17777778,241.2857
C-8973,240039-SES'S H.R.PATEL ARTS MAHILA,Maharashtra,14,505,1,0.0,40,36.07142857,59.930355
C-8960,"240040-SES'S COLLEGE OF EDUCATION,",Maharashtra,11,177,1,10.0,53,16.09090909,26.710821
C-9002,240051-R.C.PATEL E.T.'S ARTS &,Maharashtra,73,2063,3,10.0,54,28.26027397,224.46812
C-8993,240055-SES'S R.C.PATEL INSTITUTE OF,Maharashtra,88,1198,5,10.0,92,13.61363636,143.32593
C-8868,240074-R.C.PATEL EDU.TRUST'S,Maharashtra,34,1075,2,10.0,89,31.61764706,129.3266
C-8984,"240080-AVPSS ARTS COLLEGE,",Maharashtra,10,213,0,0.0,84,21.3,31.713293
C-8838,240081-SES'S R.C.PATEL INSTITUTE OF,Maharashtra,122,2161,6,10.0,85,17.71311475,242.45146
C-8924,240093-SES'S H.R.PATEL INSTITUTE OF,Maharashtra,19,303,2,10.0,87,15.94736842,44.523876
C-8959,240096-KVPS'S INSTITUTE OF,Maharashtra,20,289,1,10.0,87,14.45,42.753944
C-8816,250042-SSSVPS'S LATE S.D.,Maharashtra,28,1321,2,10.0,61,47.17857143,148.9504
C-9009,250043-SSVPS'S SMT.P.B.BAGAL,Maharashtra,7,513,0,10.0,97,73.28571429,71.40178
C-8931,250044-SVS'S ARTS & SCIENCE,Maharashtra,34,760,0,10.0,69,22.35294118,93.05544
C-8958,250046-GVSM'S M.D.SISODE ARTS,Maharashtra,27,763,0,10.0,67,28.25925926,92.90178
C-8953,250108-SVS'S SHRIMANT RAJE,Maharashtra,6,67,2,10.0,55,11.16666667,13.446022
C-49529,250114-SHRI JAYKUMAR RAWAL,Maharashtra,69,617,0,10.0,56,8.942028986,76.37489
C-9031,"260049-ASM'S C.H.C. ARTS, SCIENCE & S.",Maharashtra,30,1480,0,10.0,86,49.33333333,170.46889
C-8968,260050-VVM'S ARTS & COMMERCE,Maharashtra,19,559,0,10.0,63,29.42105263,70.80066
C-8929,260054-MAHATMA FULEY,Maharashtra,8,158,0,0.0,71,19.75,24.12721
C-8837,260072-SJMSM'S ARTS & COMMERCE,Maharashtra,10,213,0,0.0,85,21.3,31.78253
C-8947,260084-GVMMS'S PRADNYA,Maharashtra,9,930,0,0.0,51,103.33333329999999,105.3627
C-9005,260089-RFN'S SENIOR SCIENCE,Maharashtra,12,478,0,10.0,42,39.83333333,58.498535
C-9006,260091-JIIU'S JAMIA COLLEGE OF,Maharashtra,8,96,2,10.0,68,12.0,17.87328
C-9021,260097-ALI-ALLANA COLLEGE OF,Maharashtra,24,232,2,10.0,46,9.666666667000001,33.266167
C-8884,"270047-ASS&SPS'S KALA,WANIJYA",Maharashtra,36,3445,2,10.0,61,95.69444444,365.02347
C-8835,270048-ASSS'S COLLEGE OF,Maharashtra,10,138,2,10.0,95,13.8,24.84924
C-8818,270083-VES'S SARVAJANIK ARTS,Maharashtra,15,293,0,0.0,95,19.53333333,42.30301
C-8964,280061-ASSPM'S MAHARAJ,Maharashtra,17,726,1,10.0,58,42.70588235,87.21611
C-43002,357 Late.Uttamrao Deshmukh,Maharashtra,1,180,0,0.0,49,180.0,25.45059
C-43023,410 Babasaheb Deshmukh,Maharashtra,14,541,0,0.0,88,38.64285714,72.06842
